months_as_customer,age,policy_bind_date,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_date,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,policy_state_IN,policy_state_OH,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_hobbies_cross-fit,insured_hobbies_other,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,incident_city_Columbus,incident_city_Hillsdale,incident_city_Northbend,incident_city_Northbrook,incident_city_Riverwood,incident_city_Springfield,property_damage_NO,property_damage_YES,police_report_available_NO,police_report_available_YES,auto_make_Audi,auto_make_BMW,auto_make_Chevrolet,auto_make_Dodge,auto_make_Ford,auto_make_Honda,auto_make_Jeep,auto_make_Mercedes,auto_make_Nissan,auto_make_Saab,auto_make_Suburu,auto_make_Toyota,auto_make_Volkswagen,"age_bins_(25, 45]","age_bins_(45, 64]",incident_month_of_year,incident_day_of_week,weekday,fraud_reported
473,58,1992-10-19 00:00:00,2000,1131.4,0,458733,55700,0,2015-01-29 00:00:00,12,4,0,0,63120,10520,10520,42080,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1
70,26,2005-06-08 00:00:00,1000,1199.44,5000000,619884,63600,0,2015-02-22 00:00:00,0,3,1,2,52110,5790,5790,40530,2012,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,6,0,0
140,31,2004-11-15 00:00:00,500,708.64,6000000,470610,53500,0,2015-01-06 00:00:00,9,1,0,2,77880,14160,7080,56640,2015,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
160,37,2014-12-28 00:00:00,500,1374.22,0,472135,45500,-37800,2015-01-19 00:00:00,19,1,1,0,72930,6630,13260,53040,2015,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
196,39,1992-08-02 00:00:00,2000,1475.73,0,477670,57000,-27300,2015-02-22 00:00:00,8,3,2,0,60400,6040,6040,48320,2014,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,6,0,0
460,62,2002-06-25 00:00:00,1000,1187.96,4000000,618845,0,0,2015-01-01 00:00:00,20,3,1,0,47160,0,5240,41920,2011,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,0
217,41,2005-11-27 00:00:00,2000,875.15,0,442479,46700,0,2015-02-10 00:00:00,15,3,1,2,37840,0,4730,33110,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0
370,55,1994-05-27 00:00:00,2000,972.18,0,443920,72700,-68200,2015-01-11 00:00:00,20,3,0,0,71520,17880,5960,47680,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,1
237,40,1996-02-02 00:00:00,1000,883.31,0,434733,0,-53500,2015-02-24 00:00:00,6,1,1,3,77880,7080,14160,56640,2005,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0
257,43,1990-09-20 00:00:00,2000,1322.1,0,436984,0,-29200,2015-01-28 00:00:00,4,1,1,3,9020,1640,820,6560,2005,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0
202,34,2002-07-18 00:00:00,500,848.07,3000000,607730,31000,-30200,2015-01-07 00:00:00,5,1,2,1,5720,1040,520,4160,2003,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1
224,40,1990-02-08 00:00:00,2000,1291.7,0,609837,0,-55600,2015-01-08 00:00:00,21,1,1,0,69840,7760,15520,46560,2009,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
155,35,2003-08-01 00:00:00,1000,1088.34,0,614780,81100,0,2015-02-24 00:00:00,16,3,2,3,29790,3310,3310,23170,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0
149,37,1991-01-13 00:00:00,500,1415.68,0,603381,0,0,2015-02-12 00:00:00,17,1,0,1,64800,10800,5400,48600,1999,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0
147,33,2010-08-08 00:00:00,1000,1334.15,6000000,479224,53300,-49200,2015-01-24 00:00:00,15,1,2,0,53100,10620,5310,37170,1995,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0,1
62,28,2003-03-09 00:00:00,1000,988.45,0,430141,0,0,2015-01-09 00:00:00,3,1,1,1,60200,6020,6020,48160,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,1,1
289,49,1993-02-03 00:00:00,2000,1222.48,0,620757,0,0,2015-01-18 00:00:00,16,1,1,1,5330,1230,820,3280,2001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,0
431,54,2002-11-25 00:00:00,2000,1155.55,0,615901,65700,0,2015-01-21 00:00:00,4,3,2,0,62300,12460,6230,43610,2007,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0
79,26,1995-05-08 00:00:00,500,1451.62,0,456446,0,-55700,2015-01-03 00:00:00,19,1,2,2,40000,8000,4000,28000,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0
116,34,2012-08-30 00:00:00,500,1737.66,0,470577,0,-24100,2015-01-01 00:00:00,1,1,1,1,97080,16180,16180,64720,2001,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1
37,23,2006-04-30 00:00:00,500,1475.93,0,441648,0,-67400,2015-01-16 00:00:00,17,3,1,0,51660,5740,5740,40180,2010,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
106,30,2003-04-13 00:00:00,500,538.17,0,433782,49700,-60200,2015-02-10 00:00:00,23,1,2,2,51120,5680,5680,39760,2005,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0
265,40,2006-08-21 00:00:00,1000,1454.43,0,459407,0,0,2015-02-21 00:00:00,17,3,2,3,55120,6890,0,48230,2002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0
163,33,1990-01-08 00:00:00,500,1240.47,0,472573,35300,0,2015-02-18 00:00:00,11,3,1,1,77110,0,14020,63090,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0
355,47,1990-03-18 00:00:00,2000,1273.7,4000000,433473,0,0,2015-01-10 00:00:00,19,3,2,1,62800,6280,6280,50240,2003,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1
175,34,2008-01-07 00:00:00,1000,1123.87,8000000,446326,0,0,2015-02-26 00:00:00,5,1,2,0,7290,810,810,5670,1995,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0
430,59,2004-01-10 00:00:00,2000,1326.62,7000000,477310,0,0,2015-01-03 00:00:00,19,3,0,3,81800,16360,8180,57260,1998,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0
91,27,1994-08-20 00:00:00,2000,1073.83,0,609930,0,0,2015-01-17 00:00:00,4,1,1,2,7260,1320,660,5280,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0
217,39,2002-06-02 00:00:00,1000,1530.52,0,603993,0,0,2015-02-22 00:00:00,8,1,2,1,4300,430,430,3440,2000,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,6,0,0
223,40,1994-04-28 00:00:00,500,1201.41,0,437818,88400,-46500,2015-01-27 00:00:00,7,3,1,0,70510,12820,12820,44870,1999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
439,56,2008-11-20 00:00:00,500,1082.49,0,606714,36100,-55000,2015-02-28 00:00:00,12,3,2,3,56430,0,6270,50160,2014,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,0
94,32,1995-10-18 00:00:00,1000,1414.74,0,464691,0,0,2015-02-22 00:00:00,19,1,1,3,2400,300,300,1800,2014,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0
11,39,1993-05-19 00:00:00,2000,1470.06,0,431683,56600,-45800,2015-01-07 00:00:00,22,1,0,1,65790,7310,7310,51170,2007,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0
245,44,1993-09-30 00:00:00,1000,1168.2,0,452787,69100,0,2015-02-11 00:00:00,23,3,0,3,44280,7380,3690,33210,1997,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0
119,32,2014-06-10 00:00:00,1000,993.51,0,468767,0,-49500,2015-01-12 00:00:00,12,1,0,3,56300,5630,11260,39410,2011,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
295,42,2007-04-24 00:00:00,2000,1641.73,5000000,450149,62400,0,2015-01-20 00:00:00,16,3,0,0,59130,6570,6570,45990,2006,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
128,30,1994-02-11 00:00:00,1000,1061.33,0,478575,43300,-66200,2015-01-10 00:00:00,8,1,0,3,68530,12460,6230,49840,1997,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0
338,49,1994-02-22 00:00:00,1000,1279.08,0,449718,0,-51500,2015-02-27 00:00:00,13,1,0,1,4300,860,860,2580,2004,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0
222,41,1998-11-11 00:00:00,2000,1055.53,0,441992,37800,-50300,2015-02-08 00:00:00,7,1,0,2,61290,6810,6810,47670,1995,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,6,0,1
215,37,2002-12-28 00:00:00,500,1632.93,0,614417,0,-42900,2015-02-23 00:00:00,7,3,2,0,57120,9520,4760,42840,2002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0
192,40,2004-04-15 00:00:00,1000,1405.99,0,472895,0,0,2015-03-01 00:00:00,18,3,1,0,42930,9540,4770,28620,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0
